day,h1,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h2,h20,h21,h22,h23,h24,h3,h4,h5,h6,h7,h8,h9,month,year,"zone_id"
1,976022,1077467,1079216,1060415,1026262,971392,931515,922874,978192,1128920,1163657,940929,1162872,1144546,1104189,1054152,982493,911360,903748,926770,950478,992478,1027519,1069526,1,2015,
2,936473,1224024,1222855,1199416,1158826,1112939,1069949,1042032,1079327,1198336,1227602,919261,1217351,1193901,1145354,1085611,1001548,908778,911527,929152,988469,1055139,1137424,1183458,1,2015,
3,951182,1113784,1097854,1059360,1006809,959493,922920,912623,946551,1046284,1069254,909672,1043129,1018950,972760,918042,844958,898850,884750,900030,923800,974336,1035385,1088298,1,2015,
4,771658,986000,977315,957502,963094,946271,943851,953043,1006350,1107198,1127991,738315,1110790,1096348,1046516,968805,888023,720847,709735,715169,724002,769437,839342,924588,1,2015,
5,845034,1183441,1191178,1165276,1153732,1142910,1125570,1132154,1176300,1288604,1330396,828042,1320305,1286228,1229536,1145582,1058491,830246,849710,875595,975527,1151046,1218380,1188954,1,2015,
6,1013197,1334440,1309886,1277270,1259639,1249230,1235768,1247454,1328701,1519937,1585861,1002087,1601645,1590608,1547997,1477662,1399947,999496,1027859,1070076,1175968,1356057,1431344,1367788,1,2015,
7,1372149,1604862,1591121,1533626,1483259,1446740,1420762,1435285,1507867,1651636,1639953,1370660,1640201,1645445,1613830,1526217,1434172,1376685,1405303,1451446,1554233,1710867,1721902,1632473,1,2015,
8,1405089,1548779,1520981,1481335,1448313,1432157,1422470,1435691,1489724,1598392,1620892,1383585,1607209,1553720,1471458,1372219,1276027,1381807,1396423,1443253,1541644,1667234,1691533,1601531,1,2015,
9,1221615,1505175,1481322,1451185,1416364,1395436,1372197,1391726,1424490,1560591,1597534,1193351,1587402,1570601,1549165,1517645,1451600,1194803,1201828,1242609,1329429,1474941,1529510,1513141,1,2015,
10,1428239,1796852,1775169,1696081,1625478,1560964,1514218,1498883,1561596,1679496,1681256,1429388,1662155,1657821,1664139,1637496,1568435,1445374,1464348,1497290,1553221,1625800,1707099,1788942,1,2015,
11,1542582,1675827,1617747,1567265,1499684,1418834,1376517,1387782,1443262,1564335,1592411,1534136,1581968,1557576,1489539,1403012,1308401,1538772,1551140,1570371,1608634,1671955,1712809,1733550,1,2015,
12,1263678,1420666,1363998,1300311,1262231,1227979,1199135,1205641,1254951,1370935,1420517,1235107,1408861,1372740,1311958,1227526,1127858,1241947,1255633,1293204,1378987,1546942,1600917,1495891,1,2015,
13,1093147,1324556,1255005,1212205,1186682,1180943,1166511,1172398,1240146,1394692,1459089,1075745,1463937,1452214,1393151,1322413,1242236,1089141,1108170,1156546,1254139,1435435,1511181,1415476,1,2015,
14,1189440,1392472,1338645,1297076,1260266,1230559,1215995,1240149,1313339,1458398,1509220,1202445,1505831,1499996,1435569,1352633,1250920,1204595,1221559,1257476,1318723,1489030,1563236,1462993,1,2015,
15,1198044,1522474,1475054,1443859,1404088,1404905,1352343,1369289,1440730,1593967,1658709,1177670,1658313,1658582,1615672,1559998,1480523,1169877,1182841,1206892,1303868,1473405,1576336,1545333,1,2015,
16,1460134,1737981,1684586,1620102,1585989,1517561,1489613,1471537,1512055,1655984,1715359,1478337,1695775,1676713,1630243,1558037,1475310,1500631,1525550,1580394,1662390,1791513,1834939,1766684,1,2015,
17,1403362,1602496,1549455,1471636,1404140,1355827,1330019,1341830,1380193,1467072,1468345,1394710,1436773,1400776,1347529,1289012,1208286,1392293,1404754,1428448,1449254,1503466,1579113,1618189,1,2015,
18,1144174,1387223,1382872,1355617,1328020,1300215,1285528,1274023,1310103,1384192,1406810,1125905,1389024,1381360,1351935,1324795,1259304,1112612,1103754,1106059,1126292,1160176,1229699,1326370,1,2015,
19,1238211,1609227,1586914,1536531,1490583,1443436,1423463,1427411,1494369,1655687,1721359,1240111,1733460,1703416,1634866,1574333,1484308,1257684,1278427,1339948,1412441,1520957,1609872,1623613,1,2015,
20,1437765,1640983,1575712,1538476,1474732,1446287,1420441,1409472,1486329,1664601,1741340,1430017,1750770,1721631,1648955,1560438,1469710,1428016,1446981,1486987,1579733,1729802,1792543,1708917,1,2015,
21,1434380,1608529,1572320,1508856,1455435,1443320,1418552,1412618,1467463,1592484,1673499,1434400,1691747,1666883,1609409,1538237,1437095,1439547,1467896,1512972,1606921,1753608,1796338,1684677,1,2015,
22,1400384,1483825,1451585,1412949,1360902,1303477,1263636,1270732,1330478,1456618,1536429,1378746,1536320,1543213,1489074,1419080,1346668,1364445,1369247,1393552,1465346,1606956,1644231,1541141,1,2015,
23,1350889,1694617,1633964,1580434,1527127,1496385,1446240,1430203,1482675,1618874,1668053,1366183,1650308,1615612,1578775,1509141,1416823,1380279,1410249,1488645,1590929,1763981,1845371,1749200,1,2015,
24,1373092,1602566,1578927,1523124,1479406,1460109,1416561,1407441,1436862,1556009,1629574,1356845,1618456,1599773,1568645,1530386,1458655,1345702,1343912,1360543,1387813,1454361,1524927,1590304,1,2015,
25,1429970,1768715,1742861,1681292,1634726,1603843,1594880,1593585,1628571,1693941,1710067,1431239,1697231,1654911,1601844,1571706,1493853,1440905,1457970,1492282,1531761,1590709,1695272,1756667,1,2015,
26,1462021,1732158,1728589,1710081,1676870,1642467,1621064,1605684,1649385,1709041,1714618,1457286,1657485,1616369,1559405,1469190,1405104,1455513,1465975,1491691,1537321,1580718,1609371,1663745,1,2015,
27,1368354,1632396,1611324,1597723,1574282,1537819,1522572,1512294,1546794,1626206,1655205,1351496,1618081,1553092,1505618,1430642,1351278,1347809,1355837,1381555,1439764,1538314,1595919,1619631,1,2015,
28,1325888,1596811,1557564,1520995,1510301,1483853,1454256,1440133,1477185,1625155,1719166,1321354,1707300,1623155,1564457,1489906,1394344,1320096,1346861,1392066,1459078,1588012,1663924,1656815,1,2015,
29,1359030,1505223,1436144,1375731,1333889,1309769,1280565,1275324,1314342,1455750,1549812,1352567,1557385,1538173,1468803,1399445,1299735,1346414,1360082,1402379,1480363,1602637,1650511,1596226,1,2015,
30,1260905,1540064,1469083,1417514,1394897,1379747,1368980,1378090,1430581,1574401,1656115,1252246,1654692,1658075,1633747,1593597,1552484,1249689,1266365,1304284,1388351,1534745,1611003,1597839,1,2015,
31,1524507,1755572,1686008,1602339,1536252,1473177,1416552,1390826,1409568,1514754,1626526,1534018,1625346,1607789,1564364,1527476,1460599,1542287,1560092,1600815,1630175,1702033,1768080,1794799,1,2015,
1,1431145,1572988,1485519,1413785,1373901,1312785,1278961,1264314,1286656,1409968,1484931,1426723,1490184,1501198,1492952,1464487,1417423,1432170,1446069,1470009,1498091,1551503,1622514,1633670,2,2015,
